DATE,GASREGW
2020-01-06,2.578
2020-01-13,2.57
2020-01-20,2.537
2020-01-27,2.506
2020-02-03,2.455
2020-02-10,2.419
2020-02-17,2.428
2020-02-24,2.466
2020-03-02,2.423
2020-03-09,2.375
2020-03-16,2.248
2020-03-23,2.12
2020-03-30,2.005
2020-04-06,1.924
2020-04-13,1.853
2020-04-20,1.812
2020-04-27,1.773
2020-05-04,1.789
2020-05-11,1.851
2020-05-18,1.878
2020-05-25,1.96
2020-06-01,1.974
2020-06-08,2.036
2020-06-15,2.098
2020-06-22,2.129
2020-06-29,2.174
2020-07-06,2.177
2020-07-13,2.195
2020-07-20,2.186
2020-07-27,2.175
2020-08-03,2.176
2020-08-10,2.166
2020-08-17,2.166
2020-08-24,2.182
2020-08-31,2.222
2020-09-07,2.211
2020-09-14,2.183
2020-09-21,2.168
2020-09-28,2.169
2020-10-05,2.172
2020-10-12,2.167
2020-10-19,2.15
2020-10-26,2.143
2020-11-02,2.112
2020-11-09,2.096
2020-11-16,2.111
2020-11-23,2.102
2020-11-30,2.12
2020-12-07,2.156
2020-12-14,2.158
2020-12-21,2.224
2020-12-28,2.243
2021-01-04,2.249
2021-01-11,2.317
2021-01-18,2.379
2021-01-25,2.392
2021-02-01,2.409
2021-02-08,2.461
2021-02-15,2.501
2021-02-22,2.633
2021-03-01,2.711
2021-03-08,2.771
2021-03-15,2.853
2021-03-22,2.865
2021-03-29,2.852
2021-04-05,2.857
2021-04-12,2.849
2021-04-19,2.855
2021-04-26,2.872
2021-05-03,2.89
2021-05-10,2.961
2021-05-17,3.028
2021-05-24,3.02
2021-05-31,3.027
2021-06-07,3.035
2021-06-14,3.069
2021-06-21,3.06
2021-06-28,3.091
2021-07-05,3.122
2021-07-12,3.133
2021-07-19,3.153
2021-07-26,3.136
2021-08-02,3.159
2021-08-09,3.172
2021-08-16,3.174
2021-08-23,3.145
2021-08-30,3.139
2021-09-06,3.176
2021-09-13,3.165
2021-09-20,3.184
2021-09-27,3.175
2021-10-04,3.19
2021-10-11,3.267
2021-10-18,3.322
2021-10-25,3.383
2021-11-01,3.39
2021-11-08,3.41
2021-11-15,3.399
2021-11-22,3.395
2021-11-29,3.38
2021-12-06,3.341
2021-12-13,3.315
2021-12-20,3.295
2021-12-27,3.275
2022-01-03,3.281
2022-01-10,3.295
2022-01-17,3.306
2022-01-24,3.323
2022-01-31,3.368
2022-02-07,3.444
2022-02-14,3.487
2022-02-21,3.53
2022-02-28,3.608
2022-03-07,4.102
2022-03-14,4.315
2022-03-21,4.239
2022-03-28,4.231
2022-04-04,4.17
2022-04-11,4.091
2022-04-18,4.066
2022-04-25,4.107
2022-05-02,4.182
2022-05-09,4.328
2022-05-16,4.491
